job_id,job_role,industry,country,year,automation_risk_percent,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,wage_volatility_index,ai_disruption_intensity,city,experience_level,education_level,years_experience,years_of_experience,salary_impact,salary_growth_pct,skill_pressure_index,experience_numeric,salary_per_year_exp,custom_risk_score,custom_risk_label
34,8,4,3,2026,59.14,89.0,168225.0,184814.0,9.86,2.63,62.05,3.59,2,7.73,2.123126,55,3,1,8,6,16589.0,9.86119780056472,70.8375,3,26402.0,0.5405599282654179,1
35,4,7,6,2023,42.59,28.65,37701.0,42047.0,11.53,15.89,21.44,52.22,5,4.72,22.240498,14,0,0,2,2,4346.0,11.527545688443276,27.8485,1,14015.666666666666,0.3175450831921888,0
36,9,2,1,2021,78.9,62.29,87340.0,106360.0,21.78,-1.52,58.66,63.74,1,0.46,50.29086,46,3,4,8,11,19020.0,21.776963590565607,56.3375,3,8863.333333333334,0.587506226960247,1
37,6,6,7,2021,60.83,51.63,96632.0,88680.0,-8.23,13.52,49.51,7.85,5,6.62,4.775155,39,2,4,5,6,-7952.0,-8.229158042884345,46.718500000000006,2,12668.57142857143,0.34616585301052766,1
38,1,6,5,2025,26.77,83.6,153341.0,168772.0,10.06,1.65,24.08,25.02,1,12.0,6.697854,20,3,1,6,8,15431.0,10.063192492549286,61.494,3,18752.444444444445,0.48742984291454944,1
39,1,2,14,2026,63.45,66.02,323883.0,314245.0,-2.98,15.32,47.76,24.77,3,21.22,15.716565,15,1,0,14,10,-9638.0,-2.9757659401697527,58.786,4,28567.727272727272,0.4760386569692138,1
40,2,4,4,2025,24.92,1.44,149101.0,184770.0,23.92,12.75,52.68,9.78,4,4.44,2.437176,32,3,0,6,8,35669.0,23.9227101092548,6.586000000000002,3,20530.0,0.12075985520241775,0
41,1,3,7,2021,59.41,17.32,73310.0,69397.0,-5.34,-9.3,67.16,4.53,4,16.32,2.691273,47,2,1,3,4,-3913.0,-5.3376074205429,25.588,2,13879.4,0.23938095712530302,0
42,8,4,7,2020,36.22,50.31,50259.0,51622.0,2.71,9.62,16.35,64.24,4,9.82,23.267728,47,0,3,3,3,1363.0,2.7119520881832107,41.4185,1,12905.5,0.44943044070273314,1
43,6,7,1,2023,11.86,94.02,71954.0,71817.0,-0.19,-7.38,51.24,54.56,1,15.86,6.470816,51,3,3,10,10,-137.0,-0.1903994218528504,65.864,3,6528.818181818182,0.7072830527049915,2
44,2,6,8,2025,65.9,96.12,203249.0,223791.0,10.11,-1.23,16.41,31.9,3,2.81,21.0221,64,3,1,7,5,20542.0,10.106814793676724,76.0795,3,37298.5,0.5418817043605326,1
45,2,4,1,2021,59.14,81.45,28090.0,27047.0,-3.71,-1.93,66.6,87.75,5,3.57,51.89535,11,0,3,3,1,-1043.0,-3.713065147739409,65.306,1,13523.5,0.8014811862774401,2
46,9,3,9,2021,76.45,28.2,360110.0,349381.0,-2.98,11.1,99.15,41.26,3,7.47,31.54327,61,1,1,10,12,-10729.0,-2.979367415511927,34.7405,4,26875.46153846154,0.4692437979475939,1
47,9,4,12,2023,51.04,34.08,51662.0,57733.0,11.75,15.99,77.58,75.45,5,2.18,38.50968,18,0,1,1,0,6071.0,11.75138399597383,32.687,1,57733.0,0.5697054232672445,1
48,2,6,0,2026,7.22,50.53,103635.0,114545.0,10.53,1.9,45.03,1.08,1,6.82,0.077976,33,2,4,5,7,10910.0,10.527331499975876,35.3115,2,14318.125,0.3049383946066221,0
49,2,4,0,2023,63.38,31.93,228357.0,281044.0,23.07,10.95,66.87,44.84,4,0.97,28.419592,12,3,2,9,8,52687.0,23.0722071142991,33.576,3,31227.11111111111,0.4120487529474278,1
50,9,4,9,2020,45.52,67.25,46360.0,42288.0,-8.78,11.28,18.21,49.44,2,6.24,22.505088,48,0,3,1,3,-4072.0,-8.783433994823122,53.7525,1,10572.0,0.47922686061572173,1
51,8,6,6,2022,14.03,44.15,193060.0,240662.0,24.66,1.79,22.87,76.15,4,8.25,10.683845000000002,24,1,2,12,13,47602.0,24.656583445560965,32.741,4,17190.14285714286,0.45565407990435386,1
52,4,7,6,2025,53.28,8.41,40573.0,49006.0,20.78,7.32,17.64,98.66,4,4.71,52.566048,5,0,2,0,0,8433.0,20.784758336824986,16.829,1,49006.0,0.37154528245491675,1
53,0,4,0,2021,36.2,81.28,54236.0,50993.0,-5.98,2.87,79.94,55.84,1,7.18,20.214080000000003,33,0,0,2,2,-3243.0,-5.979423261302456,61.149,1,16997.666666666668,0.7329613762412408,2
54,5,6,4,2020,39.7,11.12,110012.0,99072.0,-9.94,2.11,15.07,11.88,1,0.19,4.716360000000001,29,3,0,9,6,-10940.0,-9.944369705123078,15.1965,3,14153.142857142857,0.07115672013549866,0
55,5,1,14,2026,18.23,74.6,114142.0,112295.0,-1.62,9.02,35.71,86.86,5,1.09,15.834578,52,0,4,4,3,-1847.0,-1.6181598359937623,52.2995,1,28073.75,0.6773272226096775,2
56,0,6,5,2020,25.65,1.22,243538.0,240851.0,-1.1,5.13,16.64,55.39,2,2.24,14.207535,22,1,0,11,10,-2687.0,-1.1033185786201742,6.259,4,21895.545454545456,0.1685496994453854,0
57,2,2,10,2023,67.85,62.94,75636.0,77372.0,2.3,-2.67,62.59,90.12,1,21.53,61.14642,56,0,2,2,2,1736.0,2.295203342323761,57.7105,1,25790.666666666668,0.7345023413370528,2
58,5,4,13,2024,13.18,95.04,122388.0,121948.0,-0.36,-3.08,34.96,18.81,1,21.9,2.479158,9,2,3,4,4,-440.0,-0.3595123704938393,67.697,2,24389.6,0.5700242436318953,1
59,8,0,4,2021,42.46,58.37,202104.0,229762.0,13.69,23.76,37.86,81.38,3,3.42,34.553948,43,3,3,9,10,27658.0,13.685033448125717,46.9455,3,20887.454545454544,0.5785261200225831,1
60,1,5,0,2021,72.93,91.09,56211.0,64903.0,15.46,23.31,93.95,86.61,3,13.2,63.164673,57,0,4,3,2,8692.0,15.463165572574765,75.7745,1,21634.33333333333,0.9259805386735744,2
61,9,0,9,2020,28.17,37.65,299384.0,340239.0,13.65,18.54,97.29,84.21,4,17.13,23.721957,61,1,2,10,11,40855.0,13.646353846564946,32.676,4,28353.25,0.665703563481784,1
62,5,2,10,2024,68.68,41.48,431441.0,458362.0,6.24,5.47,79.21,94.48,2,0.05,64.88886400000001,56,1,2,15,13,26921.0,6.239787131960106,40.7055,4,32740.14285714286,0.6429079074092523,1
63,3,5,3,2022,69.48,45.05,37154.0,42013.0,13.08,10.14,30.58,67.17,1,1.2,46.66971600000001,7,0,1,0,1,4859.0,13.077999677019973,43.3585,1,21006.5,0.4650459964796918,1
64,1,0,2,2021,68.27,11.36,89882.0,97940.0,8.96,6.16,56.81,85.22,4,15.51,58.179694,60,0,0,0,2,8058.0,8.965087559244344,23.3645,1,32646.666666666668,0.4550562917206337,1
65,3,5,9,2020,48.63,87.67,145975.0,171289.0,17.34,18.69,73.37,21.3,5,6.45,10.358190000000002,3,3,3,10,9,25314.0,17.341325569446823,67.679,3,17128.9,0.6155889874132378,1
66,4,2,8,2022,19.55,35.06,143750.0,161504.0,12.35,-15.39,91.37,34.83,1,11.83,6.809265,38,3,0,9,6,17754.0,12.350608695652172,28.4735,3,23072.0,0.47686227624456173,1
67,2,3,1,2022,35.98,39.65,16858.0,19440.0,15.32,4.44,51.32,98.0,5,17.03,35.2604,51,0,0,2,1,2582.0,15.316170364218769,35.523,1,9720.0,0.6184583706950948,1
68,1,0,3,2025,59.48,63.34,41303.0,49893.0,20.8,-4.4,26.37,34.57,3,3.67,20.562236,55,0,3,3,2,8590.0,20.797520761203785,53.61750000000001,1,16631.0,0.4319218890106606,1
69,3,1,13,2026,72.78,66.76,60499.0,72549.0,19.92,-2.93,25.93,8.87,1,5.3,6.455585999999999,21,0,2,0,2,12050.0,19.91768458982793,58.745000000000005,1,24183.0,0.3634684998837634,1
70,2,7,11,2020,8.44,20.63,206801.0,191739.0,-7.28,5.35,13.54,79.94,1,19.65,6.746936,6,1,3,12,11,-15062.0,-7.283330351400622,18.045,4,15978.25,0.3532263956693567,1
71,6,3,7,2021,53.95,87.36,82573.0,79543.0,-3.67,2.79,82.56,74.83,4,1.12,40.370785,39,2,1,2,3,-3030.0,-3.669480338609473,67.742,2,19885.75,0.8212148384311381,2
72,3,7,5,2020,22.92,37.05,45826.0,49039.0,7.01,18.67,51.63,74.75,1,15.15,17.132700000000003,16,0,1,1,1,3213.0,7.0113036267621,30.939,1,24519.5,0.5274816512238052,1
73,2,3,10,2020,5.0,71.33,163761.0,173226.0,5.78,16.2,19.65,44.74,3,30.79,2.237,25,2,3,4,4,9465.0,5.779764412772272,51.983,2,34645.2,0.5170336421905616,1
74,5,3,5,2021,47.28,26.92,333842.0,365299.0,9.42,-5.82,20.78,89.05,1,6.47,42.10283999999999,22,1,2,12,11,31457.0,9.42272092786408,27.9245,4,30441.58333333333,0.4144531898641692,1
75,4,0,10,2022,51.55,78.92,327407.0,399852.0,22.13,-3.61,62.82,74.54,2,0.77,38.42537,58,1,3,13,11,72445.0,22.12689404930255,61.7235,4,33321.0,0.7121583474477766,2
76,1,2,3,2026,55.22,28.38,173336.0,198331.0,14.42,24.09,42.05,98.65,5,9.26,54.47453,53,3,3,10,9,24995.0,14.419970461992891,30.880000000000003,3,19833.1,0.5173258941914914,1
77,8,3,8,2026,52.4,10.18,370222.0,367984.0,-0.6,0.13,26.79,28.51,2,6.51,14.93924,64,1,3,12,13,-2238.0,-0.6045021635667248,18.0735,4,26284.571428571428,0.14760054465145628,0
78,0,7,11,2021,22.14,8.02,57168.0,69606.0,21.76,4.5,20.08,39.79,3,2.7,8.809506,6,0,3,1,3,12438.0,21.756926952141058,10.046,1,17401.5,0.17205672345654408,0
79,8,4,9,2021,77.86,81.71,223727.0,212909.0,-4.84,-4.78,93.64,55.68,1,5.01,43.352448,61,1,2,11,10,-10818.0,-4.835357377518136,69.435,4,19355.36363636364,0.7520042509381952,2
80,8,6,1,2021,50.01,76.95,141568.0,167540.0,18.35,-13.05,55.68,24.24,2,7.63,12.122424,49,1,3,11,11,25972.0,18.345953887884267,61.164,4,13961.666666666666,0.5260934542193882,1
81,9,0,4,2026,33.04,28.86,124233.0,151499.0,21.95,-7.11,57.93,5.18,2,0.66,1.711472,43,3,4,11,8,27266.0,21.94746967391917,25.466,3,16833.222222222223,0.24189830958785824,0
82,1,6,8,2023,48.56,6.34,124349.0,125243.0,0.72,-0.77,32.92,68.15,3,10.06,33.09364000000001,41,2,3,4,4,894.0,0.7189442617150118,15.342000000000002,2,25048.6,0.30032878350104614,0
83,4,2,3,2022,63.22,47.16,123850.0,127319.0,2.8,2.97,84.76,96.5,5,5.77,61.0073,53,3,1,7,5,3469.0,2.8009689140088816,44.1635,3,21219.83333333333,0.7143103849091693,2
84,8,0,9,2020,18.7,93.83,138916.0,135178.0,-2.69,3.44,61.7,84.18,3,0.87,15.74166,3,2,1,2,2,-3738.0,-2.690834749056984,64.86,2,45059.333333333336,0.8285875593636877,2
85,0,5,14,2020,19.78,20.16,97754.0,104906.0,7.32,0.79,69.87,52.31,5,3.94,10.346918,23,0,3,2,1,7152.0,7.316324651676657,17.651,1,52453.0,0.4079970774799907,1
86,8,0,1,2023,35.12,39.24,93207.0,93118.0,-0.1,-5.08,51.64,30.14,5,20.38,10.585168,46,3,0,9,6,-89.0,-0.0954863905071507,35.587,3,13302.57142857143,0.3865231975025738,1
87,3,2,1,2024,62.33,23.22,50816.0,51283.0,0.92,-17.11,91.58,62.42,2,8.29,38.906386000000005,11,2,4,5,6,467.0,0.9190018891687656,28.8025,2,7326.142857142857,0.5092956062568497,1
88,4,6,8,2020,18.18,62.77,208595.0,209246.0,0.31,0.85,65.81,53.35,5,3.38,9.69903,59,3,4,9,11,651.0,0.3120880174500827,44.9435,3,17437.166666666668,0.578107668293979,1
89,3,4,5,2023,72.57,15.17,173022.0,180673.0,4.42,-3.56,13.02,56.99,1,8.3,41.357643,22,3,1,6,6,7651.0,4.421981019754713,25.6195,3,25810.42857142857,0.24512636577994754,0
90,6,0,4,2025,63.37,34.21,75522.0,71994.0,-4.67,-4.79,81.76,14.99,3,2.7,9.499163,43,2,0,4,4,-3528.0,-4.671486454278224,35.3155,2,14398.8,0.37334528909700776,1
91,3,5,2,2022,26.05,72.0,336214.0,373590.0,11.12,23.77,32.66,34.57,4,4.13,9.005485,35,1,2,10,13,37376.0,11.11672922602866,52.62949999999999,4,26685.0,0.4675899173059678,1
92,4,3,5,2023,22.71,58.34,328462.0,363350.0,10.62,4.44,23.8,58.62,4,6.54,13.312602,16,1,4,12,16,34888.0,10.62162441926311,43.444,4,21373.529411764703,0.4576334230015609,1
93,0,5,7,2024,45.41,1.81,65883.0,74230.0,12.67,12.26,72.7,92.25,1,1.09,41.890725,34,0,0,0,0,8347.0,12.669429139535238,10.422,1,74230.0,0.4610474577396965,1
94,4,5,9,2023,59.51,57.63,99314.0,99343.0,0.03,-0.11,94.09,92.56,5,15.93,55.082456,3,2,0,3,4,29.0,0.029200314155104,51.751000000000005,2,19868.6,0.7901829896051277,2
95,5,0,8,2023,41.56,98.48,286057.0,309626.0,8.24,15.94,63.21,39.9,4,0.56,16.582440000000002,59,1,0,10,13,23569.0,8.239266999234419,72.408,4,22116.14285714286,0.6848327853608315,2
96,1,1,4,2025,28.83,80.29,47627.0,54371.0,14.16,-11.55,58.37,91.99,1,10.12,26.520717,43,0,3,3,2,6744.0,14.160035274109225,59.4725,1,18123.666666666668,0.7950117897114012,2
97,4,0,6,2026,34.24,73.75,91621.0,100995.0,10.23,-10.03,22.68,17.64,2,2.6,6.039936,36,3,4,9,10,9374.0,10.23127885528427,55.1755,3,9181.363636363636,0.39693135399023605,1
98,4,4,10,2021,44.89,91.48,173439.0,158085.0,-8.85,16.27,11.18,66.35,1,18.49,29.784514999999995,58,2,4,6,6,-15354.0,-8.852680193036168,71.21350000000001,2,22583.571428571428,0.6396599249443724,1
99,7,4,14,2024,12.46,14.87,414488.0,380361.0,-8.23,5.59,16.04,75.0,1,25.73,9.345,23,1,2,12,10,-34127.0,-8.233531489452046,16.017,4,34578.27272727273,0.32675102122148053,0
100,9,7,2,2025,39.69,20.51,95183.0,113483.0,19.23,-0.43,60.84,6.57,4,0.33,2.6076330000000003,42,0,0,0,1,18300.0,19.22612231175735,21.319000000000003,1,56741.5,0.2289329480920594,0
101,9,7,4,2021,79.29,52.44,40322.0,49341.0,22.37,-15.73,23.97,18.19,1,12.46,14.422851000000003,32,0,4,2,2,9019.0,22.36744209116611,51.813,1,16447.0,0.332144399056823,0
102,2,7,13,2021,60.32,37.33,47690.0,57956.0,21.53,22.52,12.28,15.62,5,11.11,9.421984,21,0,3,1,1,10266.0,21.52652547703921,37.995,1,28978.0,0.22249676198067148,0
103,9,6,3,2021,75.12,2.71,183029.0,196272.0,7.24,-6.29,11.77,10.41,1,7.22,7.819992000000001,55,1,3,15,11,13243.0,7.235465418048506,17.8685,4,16356.0,0.017780877420211887,0
104,9,3,8,2025,80.99,65.27,271224.0,301176.0,11.04,1.25,75.0,85.57,5,2.4,69.30314299999999,41,1,0,11,10,29952.0,11.043270507034777,58.9835,4,27379.636363636364,0.7218425160240443,2
105,3,0,6,2024,68.12,66.81,183076.0,178505.0,-2.5,1.9,11.17,8.55,5,5.93,5.824260000000001,36,1,3,13,14,-4571.0,-2.4967772946754354,57.940000000000005,4,11900.333333333334,0.3003487097738367,0
106,8,1,5,2025,24.55,18.14,73782.0,79853.0,8.23,3.15,83.57,34.18,4,9.24,8.39119,16,0,1,0,1,6071.0,8.228294163888211,18.087,1,39926.5,0.381833881305835,1
107,9,5,10,2026,43.16,59.03,378295.0,426422.0,12.72,22.55,59.68,43.61,3,12.8,18.822076,25,1,2,15,10,48127.0,12.722081973063352,48.9215,4,38765.63636363636,0.5265916110391551,1
108,3,1,9,2022,30.61,76.36,86114.0,99682.0,15.76,16.03,90.51,79.99,4,0.38,24.484939,61,0,2,0,2,13568.0,15.755858513133752,55.813,1,33227.333333333336,0.8093387798478962,2
109,2,5,2,2022,29.76,26.87,202182.0,243681.0,20.53,12.43,22.54,83.49,3,13.48,24.846624,35,3,0,7,9,41499.0,20.52556607413123,25.4395,3,24368.1,0.41372920195277474,1
110,6,2,2,2021,78.91,17.17,374420.0,444665.0,18.76,-4.78,34.66,55.42,2,1.96,43.731922,13,1,3,13,13,70245.0,18.761017039688053,27.2365,4,31761.78571428572,0.2843346285410647,0
111,8,3,8,2020,55.6,20.64,71863.0,74062.0,3.06,14.83,64.05,66.5,4,2.56,36.974,41,0,2,2,1,2199.0,3.059989146013943,24.92,1,37031.0,0.440058450400186,1
112,8,0,3,2023,22.28,41.88,217484.0,228916.0,5.26,5.26,24.97,73.8,4,6.25,16.44264,53,1,4,17,15,11432.0,5.256478637508966,32.6155,4,14307.25,0.4362326060243764,1
113,7,4,5,2023,5.8,24.53,208453.0,260545.0,24.99,-8.52,74.71,29.71,5,9.23,1.7231800000000002,37,3,3,7,9,52092.0,24.9898058555166,18.489,3,26054.5,0.35720500813656136,1
114,7,7,11,2020,39.65,66.37,211412.0,218710.0,3.45,12.0,12.81,26.23,3,8.58,10.400194999999998,30,1,2,13,12,7298.0,3.452027321060299,52.3575,4,16823.846153846152,0.36888180399189663,1
115,4,7,8,2024,51.66,49.64,304043.0,325595.0,7.09,-2.03,19.59,7.51,5,11.49,3.879666,59,1,1,13,14,21552.0,7.088471038635983,44.3215,4,21706.33333333333,0.24682009896715482,0
116,5,4,5,2021,60.97,68.84,53381.0,49648.0,-6.99,-0.62,81.95,69.47,3,7.08,42.355859,20,0,4,2,2,-3733.0,-6.993124894625429,58.00200000000001,1,16549.333333333332,0.7255952973996214,2
117,8,1,8,2023,29.05,36.1,118483.0,111874.0,-5.58,11.21,26.66,54.19,3,0.74,15.742195,64,2,3,6,4,-6609.0,-5.578015411493633,29.386000000000003,2,22374.8,0.3633223738832984,1
118,8,3,2,2021,71.11,80.66,70039.0,67436.0,-3.72,9.59,32.47,48.94,5,8.34,34.801234,35,0,0,2,0,-2603.0,-3.7165008066934138,67.902,1,67436.0,0.5865696921390853,1
119,3,6,14,2024,25.48,94.41,182768.0,165852.0,-9.26,7.08,26.25,56.79,5,4.3,14.470092,10,2,2,5,5,-16916.0,-9.25544953164668,67.1075,2,27642.0,0.6447145561422735,1
120,7,2,1,2021,64.08,69.74,30134.0,29251.0,-2.93,11.82,87.58,84.45,4,0.4,54.11556,51,0,2,2,2,-883.0,-2.9302449060861484,58.207,1,9750.333333333334,0.7856132310451329,2
121,0,6,0,2023,32.34,3.7,411982.0,441178.0,7.09,1.91,16.93,69.63,3,4.34,22.518342000000004,12,1,0,13,10,29196.0,7.086717380856446,9.524,4,40107.09090909091,0.23093221746205705,0
122,1,1,6,2022,48.79,6.54,52151.0,53253.0,2.11,6.97,38.69,62.59,4,14.47,30.537661000000003,2,2,3,5,5,1102.0,2.113094667408104,16.1795,2,8875.5,0.3019893062336023,0
123,4,7,1,2026,72.02,23.3,33318.0,36122.0,8.42,15.65,94.52,79.88,1,0.82,57.529576,11,2,3,5,4,2804.0,8.415871300798369,29.672,2,7224.4,0.5695260868121284,1
124,9,6,9,2020,94.86,76.72,303702.0,322188.0,6.09,1.37,88.63,98.41,3,22.99,93.351726,61,1,2,12,13,18486.0,6.086887804492562,72.2885,4,23013.42857142857,0.8753080269668893,2
125,1,2,1,2026,78.78,42.14,90020.0,86183.0,-4.26,2.18,41.92,28.72,1,4.2,22.625616,46,3,4,10,10,-3837.0,-4.26238613641413,43.777,3,7834.818181818182,0.34000199262727904,1
126,1,4,8,2024,45.74,4.21,83880.0,82671.0,-1.44,7.34,44.59,67.96,2,0.35,31.084904,38,2,1,4,3,-1209.0,-1.4413447782546496,11.937000000000005,2,20667.75,0.3098933944405699,0
127,1,3,1,2025,40.28,78.63,50937.0,59780.0,17.36,2.86,95.03,46.74,1,9.84,18.826872,11,2,4,5,5,8843.0,17.360661208944382,60.64149999999999,2,9963.333333333334,0.7280661552256651,2
